20.10.2016 07:00;16.5;712.3;97;0.0;0;20.0;16.0;0.3;0;23.7;
21.10.2016 07:00;16.1;711.3;93;0.0;0;15.0;14.9;2.0;0;23.6;
22.10.2016 07:00;15.0;710.8;96;7.0;4;20.0;14.3;2.0;0;20.8;
23.10.2016 07:00;15.1;710.4;97;0.0;0;15.0;14.6;10.0;0;28.6;
24.10.2016 07:00;22.0;711.6;48;1.0;4;20.0;10.3;0;0;30.4;
25.10.2016 07:00;23.0;715.7;39;1.7;2;20.0;8.4;0;0;32.0;
26.10.2016 07:00;18.0;717.4;76;0.0;0;20.0;13.7;0;0;32.5;
27.10.2016 07:00;16.5;717.6;75;0.0;0;20.0;12.1;0;0;25.5;
28.10.2016 07:00;14.8;719.9;86;6.0;2;20.0;12.5;0;0;21.2;
29.10.2016 07:00;9.9;719.6;92;1.7;2;15.0;8.7;0;0;21.0;
30.10.2016 07:00;10.5;717.2;97;8.0;2;5.0;10.1;0;0;20.5;
31.10.2016 07:00;8.7;715.8;96;3.7;2;6.0;8.1;0;0;22.5;
01.11.2016 07:00;8.0;717.0;86;0.0;0;20.0;5.8;0;0;23.5;
02.11.2016 07:00;9.0;716.3;75;2.8;4;15.0;4.7;0;0;21.4;
03.11.2016 07:00;8.8;714.5;92;0.0;0;15.0;7.5;0;0;23.6;
04.11.2016 07:00;9.0;716.2;75;0.0;0;15.0;4.7;0;0;25.6;
05.11.2016 07:00;17.0;714.0;47;4.0;4;15.0;5.4;0;0;25.0;
06.11.2016 07:00;17.9;709.2;43;0.0;0;15.0;5.0;0;0;23.0;
07.11.2016 07:00;12.5;708.2;94;2.8;4;8.0;11.6;4.0;0;12.4;
08.11.2016 07:00;7.5;708.6;87;8.0;4;15.0;5.4;19.0;0;8.5;
09.11.2016 07:00;6.2;716.1;88;0.0;0;15.0;4.4;9.0;0;14.2;
10.11.2016 07:00;11.5;716.8;86;2.0;4;10.0;9.3;0;0;17.2;
11.11.2016 07:00;9.5;717.3;94;0.0;0;15.0;8.5;0;0;16.6;
12.11.2016 07:00;7.6;717.1;97;0.0;0;10.0;7.2;0;0;17.1;
13.11.2016 07:00;6.0;716.7;93;0.0;0;15.0;4.9;0;0;18.6;
14.11.2016 07:00;9.5;715.2;88;4.0;2;15.0;7.6;0;0;17.9;
15.11.2016 07:00;10.8;714.1;94;0.0;0;10.0;9.8;0.2;0;15.0;
16.11.2016 07:00;11.0;713.6;94;4.0;6;15.0;10.0;0;0;15.5;
17.11.2016 07:00;10.0;713.2;94;0.0;0;10.0;9.0;3.0;0;15.4;
18.11.2016 07:00;7.7;712.9;100;5.0;2;0.9;7.7;0;0;16.5;
19.11.2016 07:00;9.0;711.6;100;0.0;0;0.9;9.0;0;0;16.0;
20.11.2016 07:00;5.1;711.7;95;0.0;0;15.0;4.4;0;0;19.0;
21.11.2016 07:00;10.0;710.4;90;3.7;6;15.0;8.4;0;0;19.0;
22.11.2016 07:00;12.7;710.1;61;7.0;4;15.0;5.2;0;0;19.5;
23.11.2016 07:00;15.2;707.0;51;1.0;12;15.0;5.0;0;0;19.2;
24.11.2016 07:00;8.0;709.0;90;4.0;4;15.0;6.5;2.0;0;14.7;
25.11.2016 07:00;3.4;711.5;90;0.0;0;15.0;1.9;0;0;15.3;
26.11.2016 07:00;7.4;711.2;67;4.0;8;10.0;1.7;0;0;16.9;
27.11.2016 07:00;8.0;708.9;74;4.0;6;15.0;3.5;0;0;15.6;
28.11.2016 07:00;7.9;707.2;84;0.0;0;15.0;5.4;0;0;11.0;
29.11.2016 07:00;9.0;712.7;96;0.0;0;10.0;8.4;3.0;0;15.0;
30.11.2016 07:00;4.5;720.0;100;0.0;0;0.2;4.5;0;0;14.7;
01.12.2016 07:00;7.7;721.1;90;0.0;0;15.0;6.2;0;0;14.0;
02.12.2016 07:00;9.0;716.2;88;0.0;0;15.0;7.1;0;0;15.0;
03.12.2016 07:00;6.4;711.8;94;0.0;0;20.0;5.5;0;0;16.6;
04.12.2016 07:00;10.5;711.9;74;4.0;4;15.0;6.1;0;0;14.1;
05.12.2016 07:00;9.4;713.3;95;4.0;6;15.0;8.6;4.0;0;14.1;
